date,sales_quantity
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,3
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,3
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,2
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,1
2018-08-18,3
2018-08-18,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,4
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,2
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,4
2018-08-20,1
2018-08-20,4
2018-08-20,1
2018-08-20,2
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,4
2018-08-20,1
2018-08-20,2
2018-08-20,4
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,3
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,4
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,5
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,2
2018-08-20,2
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-20,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,4
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,3
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,3
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,3
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,3
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,1
2018-08-21,2
2018-08-21,1
2018-08-21,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,3
2018-08-22,1
2018-08-22,1
2018-08-22,3
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,3
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,5
2018-08-22,1
2018-08-22,4
2018-08-22,2
2018-08-22,2
2018-08-22,1
2018-08-22,1
2018-08-22,1
2018-08-22,2
2018-08-22,1
2018-08-22,1
